Taxonomy ID	Scientific name	Common name
9606	Homo sapiens	human
9598	Pan troglodytes	chimpanzee
9544	Macaca mulatta	Rhesus monkey
10090	Mus musculus	mouse
10116	Rattus norvegicus	rat
9615	Canis lupus familiaris	dog
9913	Bos taurus	cow
9031	Gallus gallus	chicken
8364	Xenopus tropicalis	western clawed frog
7955	Danio rerio	zebrafish
7227	Drosophila melanogaster	fruit fly
7165	Anopheles gambiae	malaria mosquito
6239	Caenorhabditis elegans	nematode
4932	Saccharomyces cerevisiae	budding yeast
4896	Schizosaccharomyces pombe	fission yeast
28985	Kluyveromyces lactis	ascomycetes
33169	Eremothecium gossypii	ascomycetes
318829	Magnaporthe oryzae	rice blast fungus
5141	Neurospora crassa	ascomycetes
3702	Arabidopsis thaliana	thale cress
4530	Oryza sativa	rice
